"Buurten","CO2 per neighbourhood per year (kton)|2006","Average personal income per resident|2006"
"01 Oud Scheveningen",3.6,18000
"02 Vissershaven",3.0,19000
"03 Scheveningen Badplaats",7.3,23400
"04 Visserijbuurt",4.5,20400
"05 v Stolkpark/Schev Bosjes",1.0,36600
"06 Waldeck-Zuid",2.3,20700
"07 Statenkwartier",11.7,31400
"08 Geuzenkwartier",5.6,21000
"09 Vogelwijk",9.1,34700
"10 Rond de Energiecentrale",5.2,15200
"11 Kortenbos",8.0,21900
"12 Voorhout",2.8,37100
"13 Uilebomen",3.3,23200
"14 Zuidwal",7.6,19700
"15 Schildersbuurt-West",11.6,10400
"16 Schildersbuurt-Noord",9.5,10500
"17 Schildersbuurt-Oost",5.5,9400
"18 Huygenspark",6.6,13900
"19 Laakhaven-Oost",2.8,14400
"20 Moerwijk-Oost",3.1,14000
"21 Groente- en Fruitmarkt",3.4,15000
"22 Laakhaven-West",4.8,15500
"23 Spoorwijk",3.1,12200
"24 Laakkwartier-West",7.0,14900
"25 Laakkwartier-Oost",8.7,15100
"26 Noordpolderbuurt",6.7,11300
"30 Rustenburg",6.3,16800
"31 Oostbroek-Noord",3.2,15200
"32 Transvaalkwartier-Noord",3.3,10200
"33 Transvaalkwartier-Midden",3.7,10700
"34 Transvaalkwartier-Zuid",4.2,10500
"35 Oostbroek-Zuid",5.4,14900
"36 Zuiderpark",0.0,"-"
"37 Moerwijk-West",5.9,13500
"38 Moerwijk-Noord",6.0,14200
"39 Moerwijk-Zuid",4.8,14500
"40 Nieuw Waldeck",7.9,16800
"41 Zorgvliet",0.5,41300
"42 Stadhoudersplantsoen",2.5,25600
"43 Sweelinckplein eo",5.9,28400
"44 Koningsplein eo",7.3,21000
"45 Zeeheldenkwartier",11.6,21400
"46 Archipelbuurt",8.7,35700
"47 Willemspark",2.5,36000
"48 Nassaubuurt",2.1,39300
"49 Haagse Bos",0.7,24700
"50 Bloemenbuurt-West",2.9,25900
"51 Bloemenbuurt-Oost",6.5,23000
"52 Bomenbuurt",6.2,23200
"53 Vruchtenbuurt",7.2,24700
"54 Heesterbuurt",6.0,17500
"55 Valkenboskwartier",10.0,17700
"60 Binckhorst",0.2,13900
"61 Landen",5.9,18900
"62 Rivierenbuurt-Zuid",0.7,15200
"63 Rivierenbuurt-Noord",2.6,14400
"64 Bezuidenhout-West",3.0,16300
"65 Bezuidenhout-Midden",4.3,29000
"66 Bezuidenhout-Oost",9.0,24400
"67 Kampen",3.1,18900
"68 Marlot",1.4,51000
"69 Burgen en Horsten",7.6,20200
"70 Oostduinen",0.0,"-"
"71 Belgisch Park",9.3,25500
"72 Rijslag",2.3,26100
"73 Westbroekpark",1.4,45400
"74 Duttendel",1.8,44900
"75 Uilennest",2.7,36000
"76 Duinzigt",3.4,39100
"77 Waalsdorp",5.5,35600
"78 Arendsdorp",1.7,36600
"79 v Hoytemastraat eo",2.5,31900
"80 Morgenstond-Zuid",5.9,14800
"81 Bosjes van Pex",0.5,25600
"82 Rosenburg",2.4,21500
"83 Eykenduynen",2.4,22200
"84 Leyenburg",14.2,18700
"85 Kerketuinen/Zichtenburg",0.0,22800
"86 Houtwijk",12.2,19300
"87 Venen/Oorden/Raden",7.7,12200
"88 Morgenstond-West",6.1,16200
"89 Morgenstond-Oost",6.3,15700
"90 Ockenburgh",0.5,34900
"91 Kijkduin",2.2,33800
"92 Bohemen/Meer en Bos",5.5,26600
"93 Componistenbuurt",2.4,27200
"94 Waldeck-Noord",3.9,24700
"95 Kom Loosduinen",6.2,19900
"96 Zijden/Steden/Zichten",7.5,15400
"97 Kraayenstein & Vroondaal",5.1,22600
"98 Dreven en Gaarden",8.8,14100
"99 De Uithof",1.2,17400
"100 Duindorp",5.7,16200
"101 Erasmus Veld",1.0,19500
"102 Hoge Veld",1.0,21200
"103 Parkbuurt Oosteinde",1.6,25800
"104 Lage Veld",2.0,20200
"105 Zonne Veld",1.4,19400
"106 Vlietzoom-West",0.3,21100
"107 Vliegeniersbuurt","-","-"
"108 Bosweide",1.6,33600
"109 Tedingerbroek","-","-"
"110 De Reef","-","-"
"111 De Venen","-","-"
"112 Morgenweide",6.2,22300
"113 Singels",3.8,20000
"114 Waterbuurt",3.7,20800
"115 De Bras",2.5,21100
"116 Vlietzoom-Oost",0.1,28600
"117 De Rivieren",0.0,"-"
"118 De Lanen",2.1,20300
"119 De Velden",2.6,21100
"120 De Vissen",6.3,20500
"121 Rietbuurt",0.1,"-"
"Unknown","-",-59806
